   ,CITYID,CITYNAME,CITYCODE,AREA,REGION
152,970,JHELUM,JLM,GUJ,NORTH
153,971,JHANG,JHG,FSD,CENTRAL
154,972,LARKANA,LAR,SKZ,SOUTH
155,973,LALAMUSA,LLM,GUJ,NORTH
156,974,KOT ADDU,KOT,MUX,CENTRAL
157,975,KOHAT,OHT,PEW,NORTH
158,976,KHARIAN,KRN,GUJ,NORTH
159,977,KHANPUR,NPR,SKZ,SOUTH
160,978,KHAIRPUR,KHP,SKZ,SOUTH
161,1138,BARA KAHU,BRK,RWP,NORTH
162,1139,18 HAZARI,AZR,FSD,CENTRAL
163,1140,KHAIPUR TAMEWAL,KTW,MUX,CENTRAL
164,1141,QALANDRABAD,QAL,RWP,NORTH
165,1142,PALANDRI,PUL,RWP,NORTH
166,1143,GARI YASIN,GYS,SKZ,SOUTH
167,1144,DOKRI,ORI,SKZ,SOUTH
168,1145,WARAH,WRH,SKZ,SOUTH
169,1146,KOT SAMABAH,KSB,SKZ,SOUTH
170,1147,BASIR PUR,BSR,MUX,CENTRAL
171,1148,GHOUS PUR,GPR,SKZ,SOUTH
172,1149,UBARO,URO,SKZ,SOUTH
173,1150,KHIDDER WALA,KDW,FSD,CENTRAL
174,1151,PIPLAN,PLN,FSD,CENTRAL
175,1152,CHASHMA,SMA,FSD,CENTRAL
176,1153,SAHIWAL - FSD,SFD,FSD,CENTRAL
177,1154,NARWALA BANGLA,NLB,FSD,CENTRAL
178,1155,WAN BACHRAN,WBC,FSD,CENTRAL
179,1156,KANDIARI,KDI,HDD,SOUTH
180,1157,JARWAR,JAR,SKZ,SOUTH
181,1158,ADDA ZAKHEERA,ADZ,MUX,CENTRAL
182,1159,KHAZAKHELA,KZK,PEW,NORTH
183,1160,RAWAT,RVT,RWP,NORTH
184,1161,PINDI GHEB,PGB,RWP,NORTH
185,1162,MAKHDOOM AALI,MDA,MUX,CENTRAL
186,1163,BANGLOW GOGERA,GOG,MUX,CENTRAL
187,1164,GOLARCHI,GOL,HDD,SOUTH
188,1165,KOT MITTHAN,KTM,MUX,CENTRAL
189,1166,DHANOT,DNT,MUX,CENTRAL
190,1167,MUBARAK PUR,MMP,MUX,CENTRAL
191,1168,JAWARIAN,JVR,FSD,CENTRAL
192,1169,MURID WALA,IAA,FSD,CENTRAL
193,1170,MAMUN KANJAN,MKN,FSD,CENTRAL
194,1171,KAMER MOSHANI,KMI,FSD,CENTRAL
195,1172,KALA BAGH,KBH,FSD,CENTRAL
196,1173,HARNOULI,HNL,FSD,CENTRAL
197,1174,KALOOR KOT,OOR,FSD,CENTRAL
198,1175,BARNALA,BRN,FSD,CENTRAL
199,1176,PAHAR PUR,PHP,FSD,CENTRAL
200,1177,SATIANA BANGLA,SBN,FSD,CENTRAL
201,1178,NURPUR THAL,NPT,FSD,CENTRAL
202,1179,KATLANG,KLG,PEW,NORTH
203,1180,KALAR KAHAR,KLK,RWP,NORTH
204,1181,SINJHORO,SJO,HDD,SOUTH
205,1182,JALALPURPIRWALA,JPP,MUX,CENTRAL
206,1183,BUCHIANA MANDI,BCM,FSD,CENTRAL
207,1184,MANGOWAL,MVL,GUJ,NORTH
208,1185,HAZRO,HOO,RWP,NORTH
209,1186,BUDHLA SANT,BST,MUX,CENTRAL
210,1187,KACHA KHO,KOO,MUX,CENTRAL
211,1188,CHOR CANTT,COC,HDD,SOUTH
212,1189,DOUR,DOR,HDD,SOUTH
213,1190,MUSLIM BAGH,LMB,UET,SOUTH
214,1191,DERA ISMAIL KHAN,DIK,FSD,NULL
215,1192,DALBANDIN,DLB,UET,NULL
216,1199,BHIMBER,BMR,GUJ,NORTH
217,1200,DUKKI,UKI,UET,SOUTH
218,1209,TAUNSA SHARIF,IAS,MUX,CENTRAL
219,1210,PIND DADAN KHAN,PDK,RWP,NORTH
220,1211,SERAI NAURANG,SNG,PEW,NULL
221,1214,MATLI,MTI,HDD,SOUTH
222,1219,PABBI,PBI,PEW,NORTH
223,1220,DERA ALLAHYAR,DAY,SKZ,SOUTH
224,1222,RISALPUR,RSP,PEW,NORTH
225,1238,PIR MAHAL,PML,FSD,CENTRAL
226,1239,HARNAI,HNI,UET,SOUTH
227,1243,BALAKOT,BQK,RWP,NORTH
228,1245,MANKERA,MKR,FSD,CENTRAL
229,1246,Shawa Adda,ASW,RWP,NORTH
230,1249,DADYAL (A.K),DYL,RWP,NORTH
231,979,KASUR,KSR,LHE,CENTRAL
232,980,KAMOKE,KMK,GUJ,NORTH
233,981,MURIDKEY,MRY,LHE,CENTRAL
234,982,MIRPUR KHAS,MPK,HDD,SOUTH
235,983,MIRPUR A.K.,QML,GUJ,NORTH
236,984,MINGORA (SWAT),SWT,PEW,NORTH
237,985,MARDAN,MDN,PEW,NORTH
